,word,freq.x,freq.y,percent.x,percent.y,keyness,p.value,log.ratio,x.vs.y
5264,they,561,6102,0.49,1.37,723.48,0.00000,1.48,x<y
2513,hillary,4,1535,0.00,0.35,659.63,0.00000,6.62,x<y
4717,she,148,2815,0.13,0.63,582.61,0.00000,2.29,x<y
4228,re,503,5165,0.44,1.16,563.91,0.00000,1.40,x<y
951,clinton,7,1332,0.01,0.30,544.34,0.00000,5.61,x<y
2288,going,551,5186,0.48,1.17,493.15,0.00000,1.28,x<y
2446,he,1075,1841,0.94,0.41,415.73,0.00000,1.18,x>y
2522,his,347,257,0.30,0.06,395.12,0.00000,2.39,x>y
5583,very,116,1696,0.10,0.38,282.32,0.00000,1.91,x<y
1613,donald,249,200,0.22,0.05,264.76,0.00000,2.28,x>y
2828,it,1314,8003,1.15,1.80,252.45,0.00000,0.65,x<y
5787,work,335,389,0.29,0.09,241.66,0.00000,1.74,x>y
5325,together,245,214,0.21,0.05,241.34,0.00000,2.15,x>y
3447,my,503,792,0.44,0.18,228.76,0.00000,1.30,x>y
1697,economy,142,66,0.12,0.01,220.98,0.00000,3.06,x>y
1000,college,106,26,0.09,0.01,217.35,0.00000,3.99,x>y
1993,families,145,74,0.13,0.02,213.93,0.00000,2.93,x>y
5735,who,619,1137,0.54,0.26,205.81,0.00000,1.08,x>y
5836,young,132,62,0.12,0.01,204.23,0.00000,3.05,x>y
1719,election,187,158,0.16,0.04,190.01,0.00000,2.20,x>y
2481,help,184,160,0.16,0.04,182.02,0.00000,2.16,x>y
4007,president,329,474,0.29,0.11,174.30,0.00000,1.43,x>y
2934,kind,110,53,0.10,0.01,167.78,0.00000,3.01,x>y
4556,s,1228,6976,1.08,1.57,163.60,0.00000,0.55,x<y
422,bad,12,514,0.01,0.12,158.88,0.00000,3.46,x<y
5103,sure,140,110,0.12,0.02,151.73,0.00000,2.31,x>y
2125,folks,23,602,0.02,0.14,151.48,0.00000,2.75,x<y
2340,great,195,1729,0.17,0.39,147.95,0.00000,1.19,x<y
3604,ok,17,534,0.01,0.12,146.62,0.00000,3.01,x<y
3817,percent,34,681,0.03,0.15,146.12,0.00000,2.36,x<y
